hate_speech,knowledge_sentence,counter_narrative,target,Generated Counter Speech
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","“Hillary Clinton meets in secret with international banks to plot the destruction of U.S. sovereignty to enrich these global financial powers, her special interest friends and her donors,” Trump announced in West Palm Beach.As a Jew and an American, I am both afraid and ashamed.All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate (the “Jew York Times” is a commonplace in neo-Nazi parlance).All that suggests that the majority of Americans — unlike 50 years ago — no longer find such views acceptable.He wants to argue that Clinton does not have working people’s interests or African Americans’ interests at heart, and so he embraces a conspiracy theory that accuses her of undermining poor communities for her own economic advantage without realizing that this stereotype of the greedy Jewish landlord or merchant was a staple of anti-Semitic rhetoric. recently play on long-standing tropes used against Jews for decades or even centuries, and the echoes are unmistakable for many of Trump’s alt-right followers and for Jews who are familiar with the history of anti-Semitism.","As an American, I am both afraid and ashamed. All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth.",Antisemitism,"Jewish people are not the only ones who work hard to provide for their families.  They are just as capable of working hard as anyone else.  (link to MEND factsheet about Jewish people in the U.S. )   If you really cared about human rights, you would call for an end to scapegoating and scapegoating of the Jewish people. You would demand that they stop hiding behind their religion and try to live up to the standards of human decency that we hold in high regard. Instead, you continue to perpetuate the stereotype that the Jews are greedy and greedy-minded, and that they are controlling the financial world."
Muslims have no place in civilised Europe.,"Sen. Patrick Leahy, D-Vt., claimed hate groups increasingly are targeting Muslims in the United States.Durbin, who announced his hearing shortly after King's concluded, acknowledged Tuesday that other religious groups face discrimination.Durbin, along with several other senators, expressed concern that U.S. Muslims are facing widespread discrimination in the wake of the Sept. 11, 2001, terror attacks.Among the witnesses, Durbin planned to call Muslim Advocates President Farhana Khera and Thomas Perez, a top official in the Justice Department's civil rights division.While critics of King's hearing questioned why he didn't examine other domestic threats like the KKK, King likewise questioned why Durbin wouldn't examine civil rights violations of other religious groups.""The best they can do is come back with these hearings by Senator Durbin, which is somehow trying to create the illusion that there's a violation of civil rights of Muslims in this country.","Hate groups increasingly are targeting Muslims in EU: they are facing widespread discrimination in the wake of the terror attacks since 2001. Still, why don't we examine other domestic threats, like the far right movements, or why don't we examine civil rights violations of other religious groups?",Islamophobia,"Islam is a religion of peace. It is about love, tolerance and understanding. It has nothing to do with discrimination and hate. Muslims are here to live and work in peace. They have every right to be proud of their religion and culture. They are our brothers and sisters. We should respect their right to practice it as they wish. (link to article about the Muslim community in Europe)   If you really cared about human rights, you would call for the prosecution of those who commit these crimes, and you would demand the punishment of the criminals. But you would do nothing to promote the respect of human rights among your fellow human beings.   The world would be a better place without your intolerance and violence.  Islam does not promote violence"
Jews think they are better than everyone else,"Another asks if Jews consider themselves the chosen people.""You are a very interesting object to most people here."" ""Are there still Jews in Germany?""''Are the Jews a chosen people?""""With so few of us, you almost inevitably feel like an exhibition piece,"" volunteer Leeor Englander said. ""With this exhibition we offer an opportunity for those people to know more about Jews and Jewish life.""""We wanted to provoke, that's true, and some people may find the show outrageous or objectionable,"" Goldmann said.","Maybe it's because after the Holocaust, with so few of them left, they almost inevitably feel like a unique exhibition piece in a museum.",Antisemitism,"We are all human beings with the potential to be just as good as anyone else, regardless of our skin color. This is what makes us human. Not ""race"" or ""religious"" or any other label we choose to attach to it, but the ability to feel empathy and compassion for other human beings regardless of their skin tone. “Jewishness” is not about race or religion, it is about humaneness and respect for other people.  “Humanity’ is about standing up for what is right regardless of who you are or where you come from. Not standing idly by while some people are oppressed and others are given a second chance. Not giving in to fear and letting bigotry like this define who we are.Humanity"
Jews think they are better than everyone else,"is an essential part of being Jewish as observing Jewish law (19%).Despite those trends, American Jews overwhelmingly express pride in their Jewish identity and a ""strong sense of belonging to the Jewish people,"" the Pew study said.Just 15% of Jewish Americans say that being Jewish is mainly a religious matter.Instead, more than 60% of American Jews say being Jewish is ""mainly a matter of culture and identity,"" according to an extensive survey released Tuesday by the Pew Research Center.The survey showed much lower rates of religious observance among Jewish millennials, one of several trends that may worry Jewish leaders.The non-partisan research center says its survey is the most comprehensive national survey of American Jews since the National Jewish Population Survey in 2000-2001.","Even if it might have been true in the past (but is not) the pride in Jewish identity according to an extensive survey released by the Pew Research Center is falling in the US. In fact, the survey showed much lower rates of religious observance among Jewish millennials.",Antisemitism,"We are all human beings with the potential to be just as good as anyone else, regardless of our skin color. This is what makes us human. Not ""race"" or ""religious"" or any other label we choose to attach to it, but the ability to feel empathy and compassion for other human beings regardless of their skin tone. “Jewishness” is not about race or religion, it is about humaneness and respect for other people.  “Humanity’ is about standing up for what is right regardless of who you are or where you come from. Not standing idly by while some people are oppressed and others are given a second chance. Not giving in to fear and letting bigotry like this define who we are.Humanity"
Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"In short, scholars have become quite critical of the concept of race. “On the New Biology of Race” (Journal of Philosophy Vol. If siblings — who share the largest amount of DNA — can be identified as being of different races because of the way they look (as is common in Latin America and in my own family), how can race be biological? Serious scholarship in the area of race is really just beginning. In recent weeks, the state of Arizona has intensified its attack in its schools on an entire branch of study — critical race theory. As for myself, I am actually a racial realist, and have defended the reality of race throughout my work, precisely in the sense some of the commentators have wanted to emphasize: that race is a socially constructed category with much significance and relevance even though the old-fashioned biological notions of race are false.",Scholars have become quite critical of the concept of race.,Racism,"We are all born equal in the eyes of the law, but some groups are disadvantaged in certain areas of life, and it is our duty as human beings to help them to regain their rightful place in society. This includes respecting the differences between people, regardless of their skin color. We should try to live in a more just and equal society.   #equalpay #metoo #blacklivesmatter #InquiryCSA #Truthproject A post shared by J K Rowling’s’ Black List’’ (@jk_rowling) on May<DISABLED> 11, 2017 at<DISABLED> 11’ mins ago."
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Instead, early next year, a new book will present “a brave new perspective on feminism” that feminist academics and activists have inexplicably ignored for decades: how to be hot.But despite wrongheaded beliefs to the contrary, feminism has never been about making women feel good or supporting everything they do – it’s a political and social movement for equality. How many women are represented in political conversations on television matters if you’re worried about the public hearing about the pay gap.Women around the world will be treated to such an extraordinary feat of feminism in 2016 that they’ll scarcely know what to do with it.the content is controversial in a bland sort of way, if you’ve never read anything about feminism except what its detractors purport that it’s about. Feminism is having it’s","Of course, if you’ve never read anything about feminism except what its detractors purport that it’s about, then you come to believe it is a divisive force for society. But if you open yourself to different point of view you will change your mind, trust me!",Misogyny,"The idea that there is such a thing as a ""divisive force"" in society is just fear mongering. People are free to choose their own lives and opinions, and this is their prerogative. I think it is also their right to express these opinions, as long as they are not trying to ""divide"" anyone. (insert quote from Germaine Greer about the importance of free thought and expression) Feminism, in my opinion, is an attempt to improve the lot of both men and women by making the world a better and more equal place.   If you really cared about equality, you would not be so quick to dismiss the concerns of women.  Counter"
This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"""Our vision at RANSW is for an inclusive society which promotes and supports respectful and resilient relationships, and welcoming diversity is an essential part of this,"" Frank Francis, CEO of Relationships Australia NSW said in a statement. "" RANSW, which provides relationship services and support to anyone, is hoping to make people re-evaluate their views of others and to create a conversation around diversity. Relationships Australia NSW (RANSW) launched the moving campaign to make people notice the snap judgements they make on a daily basis regarding race, gender, age, religion, sexuality and disability. Good relationships with others can and do change communities."" ""It’s troubling that we still don't have marriage equality in Australia, and still see racism, xenophobia and prejudice from all parts of society, from the sporting grandstands to key media mouthpieces,"" Hunt said. The images list their year of birth and weight at birth along with the powerful words: ""Born just like you.",Why don't we discuss about it? I hope that you can re-evaluate your views of others and that we can create a conversation around diversity together.,Racism,"We are all human beings with the potential to be just as good as anyone else. Diversity of thought and belief is a strength, not a weakness. We mustn't be afraid of new ideas or different ways of life. We can all benefit from a more open and inclusive society. Diversity is the rule rather than the exception.  Diversity is what makes a society diverse.  We cannot be 'all white' and be a 'racist nation' at the same time. This is not what the American dream is about.   Identity politics is a dangerous ideology that is oppressing some groups of people and erasing others from the face of the Earth. It is time for us to"
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","“Hillary Clinton meets in secret with international banks to plot the destruction of U.S. sovereignty to enrich these global financial powers, her special interest friends and her donors,” Trump announced in West Palm Beach,As a Jew and an American, I am both afraid and ashamed.All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate (the “Jew York Times” is a commonplace in neo-Nazi parlance).All that suggests that the majority of Americans — unlike 50 years ago — no longer find such views acceptable.He wants to argue that Clinton does not have working people’s interests or African Americans’ interests at heart, and so he embraces a conspiracy theory that accuses her of undermining poor communities for her own economic advantage without realizing that this stereotype of the greedy Jewish landlord or merchant was a staple of anti-Semitic rhetoric. recently play on long-standing tropes used against Jews for decades or even centuries, and the echoes are unmistakable for many of Trump’s alt-right followers and for Jews who are familiar with the history of anti-Semitism.","One of the most recent version of this old canard included Hillary Clinton as well. She allegedly meet in secret with international banks to plot the destruction of U.S. sovereignty to enrich global financial powers, her special interest friends and her donors (all Jews of course)"". As an American, I am both afraid and ashamed.",Antisemitism,"Jewish people are not the only ones who work hard to provide for their families.  They are just as capable of working hard as anyone else.  (link to MEND factsheet about Jewish people in the U.S. )   If you really cared about human rights, you would call for an end to scapegoating and scapegoating of the Jewish people. You would demand that they stop hiding behind their religion and try to live up to the standards of human decency that we hold in high regard. Instead, you continue to perpetuate the stereotype that the Jews are greedy and greedy-minded, and that they are controlling the financial world."
I hate Jews they want to rule the world.,"""Religious minorities are under constant threat in Syria,"" Eibner told FoxNews.com.While several human rights groups could not comment specifically on the Vatican's number, organizations, like Persecution.""This persecution affects Christians just as it does Muslims, Jews, Bahá'ís and people of other faiths.""""Anti-Christian violence is on the increase throughout the world, especially throughout North Africa and the Middle East,"" he added.Dinah Pokempner, general counsel for Human Rights Watch, was not able to independently verify the Vatican's figure, but said, ""I think there’s little doubt that every week, every day, someone in the world is being persecuted – even to the point of losing their life – based on their religion.","Religious minorities are under constant threat in many parts of the world. I think there’s little doubt that every week, every day, someone in the world is being persecuted – even to the point of losing their life – based on their religion and because of prejudice.",Antisemitism,"If you hate someone because of their religion, that is your own personal prerogative, and you have the right to do as you wish with that person. But if you want to be a part of a society where everyone is treated equally and with respect, you have to accept that there are some people who are different from you. And this includes other people of different religions.   The world would be a better place without prejudice and hate.  (link to article about the 'Prevent' programme in the UK)   Identity politics is a divisive force in our society. It is time for us to wake up and face the truth: that race is a social construct and that there is no such thing as pure white or pure black"
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"But Valenti is nevertheless on the defensive: “The feminism that’s popular right now is largely grounded in using optimism and humor to undo the damage that sexism has wrought,” she writes.This is thankless work, and after more than a decade of it she is clearly tired. ’s commitment to holding the line for a certain common-denominator feminism in hostile territory is admirable.The men who appear, two-dimensional figures with monosyllabic names, run together in a laundry list of half-sketched disappointments and transgressions.No one wants to hear a woman talking or writing about pain in a way that suggests that it doesn’t end.This past April, editors at The Guardian published the results of a study that analyzed more than 70 million reader comments posted on the news site since 1999.","The feminism that’s popular right now is largely grounded in using optimism and humor to undo the damage that sexism has wrought, and it has nothing to do with the old-fashioned divisive politics you are probably referring to.",Misogyny,"The idea that there is such a thing as a ""divisive force"" in society is just fear mongering. People are free to choose their own lives and opinions, and this is their prerogative. I think it is also their right to express these opinions, as long as they are not trying to ""divide"" anyone. (insert quote from Germaine Greer about the importance of free thought and expression) Feminism, in my opinion, is an attempt to improve the lot of both men and women by making the world a better and more equal place.   If you really cared about equality, you would not be so quick to dismiss the concerns of women.  Counter"
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","3. Women are bad, and women of color and Jewish women are worse.Their posts seem to fit into a few major categories: 1. Women do not deserve equal rights.4. Women should quit whining.In Egypt, keep the crusade for women's rights aliveWe argued that women deserve equal pay for equal work, that the ability to decide whether and when to become parents is central to ""freedom,"" and that all forms of discrimination in the workplace and the public sphere should be challenged and dismantled.2. It's women's own fault that they are not treated equally.","Unfotunately this is not true, they are still discriminated. According to many, women are bad, and women of color and Jewish women are even worse.",Misogyny,"The West has always been and always will be a melting pot of different cultures, religions, and beliefs. Diversity of thought and belief is a strength, not a weakness. We mustn't be afraid of new ideas or different ways of life. We are all human beings with the potential to be more open-minded and tolerant of other people's beliefs and beliefs of different races.  If we are to live in a diverse and interactive world, we all have to work together to create a more just and peaceful society. This is what the West is all about. Not racial or gender segregation.   If you really cared about human rights, you would call"
Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,"""We think the risk from condomless anal sex is low, but we need to ensure we have a couple years of follow up to give more precise estimates,"" she said. About 33 percent of gay participants and 4 percent of heterosexual participants who were HIV-negative at the start of the study reported condomless sex with other partners, the researchers write. Overall, the 548 heterosexual and 340 gay couples reported about 60,000 unprotected sex acts during the study. After following nearly 900 heterosexual and gay couples for an average of 16 months, researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression. For example, he said, when the study started, many of the participants had been having condomless sex with their partners for several years. The new study, conducted in 14 European countries, involved couples with one HIV-positive partner and one HIV-negative partner who had unprotected sex with each other.",Some studies show that the risk from condomless anal sex is low. Researchers found no evidence that uninfected partners became infected after condomless sex with an HIV-positive partner with viral suppression.,Homophobia,"This is not true. Homosexuality is not a disease, it is a sexual orientation, and it is perfectly fine to love someone of the same sex.  If you want to talk about ""perversion"" you should talk to a mental health professional, not with a group of people who have never had any kind of sexual orientation before.   The world would be a better place without homophobia and transphobia.  (link to article about the lack of acceptance of LGBT+ people in the LGBT community)   Identity politics is the replacement of traditional values with the values of the politically correct left, in order to create a more inclusive and peaceful society."
All Muslims are incompatible with any Western society.,"And that ultimately western society will always have the monopoly on what is fashionable and relevant.As a Muslim woman and the intended target consumer, I thought that the pale white model wearing the clothing served as yet another stark reminder that eastern culture may only be celebrated when it is glamorised by western society, which can in turn capitalise on it.In the context of global Islamophobia, there is something that makes me feel quite uneasy seeing a towering white woman praised for looking glamorous in the same clothing that often leaves Muslim women perceived as “extremist” and puts them at risk of being attacked or even criminalised in some western societies.Sales of luxury goods in the Middle East hit $8.7bn last year, and Muslims worldwide spent $266bn on luxury goods in 2013, it becomes clear what truly motivates these brands in their production of “modest” clothing.The fashion industry has been hugely successful in Muslim countries for many years now, and Muslim women around the globe have been extremely inventive in creating fashionable looks that allow high fashion clothing to conform to guidelines of Islamic dress.It is difficult for me to feel excited and grateful for a fashion line that supposedly caters to me and the requirements of my faith, when it feels as though the overwhelming message is that the only desirable Muslim is a wealthy one; that Muslim fashion is acceptable, but only when legitimised by a major western fashion label.","Sales of luxury goods in the Middle East hit $8.7bn last year, and Muslims worldwide spent $266bn on luxury goods in 2013. The fashion industry has been hugely successful in Muslim countries for many years now. ""All Muslims are incompatible with any Western society""... unless they buy our products of course!",Islamophobia,"Islam is a religion of peace. It is about loving all people, regardless of their religion, and respecting the diversity of the world. Muslims are not incompatible with Western societies. In fact, many Muslims live in Western societies and have contributed to our society in a number of different ways. For example, they have worked as scientists, engineers, teachers, lawyers, etc. To give you an idea of the many ways in which Muslims are integrated into Western society, I invite you to visit Muslim-owned businesses in major U.S. cities like New York, where you can find many examples of Muslims working side-by-side with white-collar workers to create jobs for themselves. (link to full article about the MOS survey results) Counter-"
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.","Reuters quoted Power on Monday saying the vote was rooted in ""disagreement over whether people of a certain sexual orientation and gender identity are in fact entitled to equal rights."" Ntwaagae also referred to sexual orientation and gender identity as ""non-internationally agreed notions"" that should not be given attention at the U.N. to the ""detriment of issues of paramount importance, such as the right to development and the racism agenda."" On Monday morning, the United Nations was split almost down the middle in a vote on whether or not to keep the Independent Expert on Sexual Orientation and Gender Identity.At the time, Botswana's U.N. Ambassador Charles Ntwaagae spoke for the 54-member Africa group, saying that sexual orientation and gender identity ""are not and should not be linked to existing international human rights instruments."" In November, African states circulated a draft resolution at the U.N.'s General Assembly third committee, calling for more clarification around the mandate of the LGBTQ investigator—and demanding that the position be halted pending further inquiry. ""Once more, States have reaffirmed the importance of monitoring human rights violations against people on the basis of their sexual orientation and gender identity,"" said ILGA's co-Secretaries General Helen Kennedy and Ruth Baldacchino, who called the appointment ""a crucial leap towards a world where all are treated free and equal.","So you think that people of a certain sexual orientation and gender identity are not entitled to equal rights? Shouldn't we make a leap towards a world where all are treated free and equal, and bullies are rendered harmless?",Homophobia,"Gender Identity and Sexual orientation are personal orientations that are formed by personal experience and are not determined by social convention. Therefore, they do not need to be ""brainwashed"" or ""reprogrammed"" in order for us to be able to accept them as we want them to be. This is why it is so important to respect people for who they are, regardless of their gender identity or sexual orientation. Gender is not a social construct and there is no such thing as a ""binary"" gender. Sexual orientation is a personal preference that can and should be expressed in any way that feels comfortable to you. Gender identity is your personal experience of"
Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,"""This is an issue that relates to safety in the blood supply. Shawn Decker, a hemophiliac who contracted HIV through contaminated blood products, said he supports allowing gay men to donate blood. The Federal Advisory Committee on Blood Safety and Availability will consider the issue in meetings June 10 and 11 in Rockville, Maryland. The issue of blood donation has ""nothing to do with someone being gay. Blood donation questions and answers The FDA retained the ban on gay blood donors after reviewing the issue in 2000 and 2006.","This is an issue that relates to safety in the blood supply, not to being gay. For example, Shawn Decker, a hemophiliac who contracted HIV through contaminated blood products, said he supports allowing gay men to donate blood, exaclty for this reason.",Homophobia,"This is not true. Homosexuality is not a risk factor for heart disease, high blood pressure, diabetes, or any of the other common conditions linked to smoking, obesity, or a host of other lifestyle choices.  If you really cared about these issues, you would call for a ban on all forms of homosexuality, not only the heterosexual one.   The same could be said for racism, sexism, ableism, and so on. But instead, we accept them because it's the only way to ""win"" the argument.  The world would be a much better place without your intolerance.  (link to article about the lack of acceptance of LGBT people in the West)   Identity politics"
Jews secretly control the world.,"Escape, Israel urges the Jews of France.But Israeli leaders ought to pause before calling for a mass exodus of French Jews.Does it want the world to see fearful Jews fleeing from Europe en masse yet again?And we now live in a world where in recent months people have brooded unemotionally, almost nonchalantly, over the question of whether the Jews “have a future” in France.A government that never misses an opportunity to lecture the Western world about the pitfalls of surrendering to terrorism is proposing exactly that — surrender — to the Jews of France.The surge in attacks is well-documented, as is the declining sense of security of French Jews.","How is it possible then, that Israeli leaders called on several occasions for a mass exodus of French Jews because of antisemitism? We now live in a world where people have brooded unemotionally, almost nonchalantly, over the question of whether the Jews “have a future” in France. Again: where is this Jews control?",Antisemitism,"We are all brothers and sisters, regardless of religion. We all have the potential to be good, kind and compassionate human beings. What is the problem if some people are different from you in some aspect of life? Do you really think that being different is a bad thing? Why do you think it is better to be different from people of different religions than to be kind to people of the same religion? I would like to think that we are all born equal in the eyes of the law, and that we can all work towards the same goal of living in a just and peaceful society. But I fear that this is not always the case.   If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes, not of"
We should restrain from imposing gender ideology on children.,"The bishops voiced their official opinion in a pastoral letter posted online entitled, “Threats to the Family Stemming from the Ideology of Gender,” which proclaimed that “the aim of gender education is the sexualization of children and young people.” Posters have appeared in schools proclaiming, “Protect Your Child Against Gender.” In any case, the English word “gender” is hardly new to Poland. For two decades, the church hierarchy exhibited no interest in the “ideology of gender” until suddenly one day it began to speak of little else. “Gender” has been chosen as the 2013 word of the year in Poland. In any case, he didn’t have more to say about his statement, nor could he name any victims or give the number of people killed or maimed by the threat of gender.","Do you believe that there are ""threats to the family stemming from the ideology of gender”?In case, could you name any victims or give the number of people killed or maimed by the threat of gender? I give you a hint: zero. While there has been many victims of gender discrimination.",Homophobia,"The idea that there is such a thing as ""gender ideology"" is just nonsense. Everyone is free to choose their own path in life, and this is their prerogative. Everyone has the right to their own beliefs, and to express them in their own way. This is what makes us a democratic society. Not imposing your beliefs on others.   If you really cared about gender equality, you would know that there are many different ways to be a woman, and that some women are better than others at certain things. This doesn't mean that you have to assign gender to every aspect of a person's life.  Gender is a social construct, and there is no specific ""idea"" that has to be imposed on anyone."
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,"Texas is home to large pockets of American Muslims, many of whom have lived there for decades.Politicians across the country have made their careers and gotten campaign donations – and gotten their otherwise unknown mugs on Fox News – by vilifying and spewing hate against Muslims.Meanwhile, American Muslims continue to build civic and electoral power.If so, then on behalf of American Muslims: please revoke those rights.Louisiana Governor Bobby Jindal already warned of an extremist Muslim “invasion” and double-downed on the ludicrous and unfounded claims made on Fox News of “no-go zones” where Muslim citizens have supposedly banned Christians from entering.Bigotry against American Muslims from inside the Republican party is not a new phenomenon.","London is home to large pockets of UK Muslims, many of whom have lived there for decades. Still, politicians across the country have made their careers and gotten campaign donations by vilifying and spewing hate against Muslims. Meanwhile, UK Muslims continue to build civic and electoral power. Considering that bigotry against UK Muslims from inside UK parties is not a new phenomenon, I would rather repatriate some of our politicians.",Islamophobia,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence.   Muslims do not represent an invasion, they are a part of our country.  Muslims are our brothers and sisters. We should be grateful for the many contributions they make to our society.  If you really cared about our country, you would know that Muslims are just as proud of their religion as anyone else. They are our fellow countrymen and women.  Islam does not pose a security threat to the UK.  It is a peaceful religion and we should be proud of it.  [link to Muslim group cleaning Newcastle streets after New Year's or more up to date"
"Fagshit, two men cannot replace a father and a mother","Or research from the Australian Study of Child Health in Same-Sex Families from last year. But let’s stick to the statistics Reed used to buttress his claim against same-sex parents. And even though Obama’s focus is and has always been on fathers, Reed tossed out those stats to put down same-sex parents. Of gay parents? Raddatz then asked Reed, “Would you rather have a child sitting in an orphanage and not have gay parents?” His response: “I think that the social science is just simply not in yet on same-sex couples and",Would you rather have a child sitting in an orphanage and not have gay parents?,Homophobia,"You are entitled to love whoever you want, as long as you are not forcing anyone to love you. Love does not have to be heterosexual. Love can be from someone of any gender, sexuality, religion, or sexual orientation. Love is possible between people of all genders, religions, and sexual orientations. It is also possible to love someone of the same sex.   Love is not a choice.  Love can come from anyone, regardless of their gender, sexual orientation, gender identity, or physical ability. Love has nothing to do with ""race"". Love is about being in love with someone who is different from you, and that is what we should all strive for. Love changes us, not the other way around."
Gays are just sick. It is an abomination,"""In Uganda, we look at homosexuality as an abomination. ""Here, homosexuality is like you have killed someone,"" she said. American gay activists have sent money to help the community here. Gays in Cameroon have been attacked by police and targeted in the media. Local newspapers are outing gays, potentially inciting the public to attack them, activists say. Western governments - including aid donors - have vocally criticized the bill and denounced the treatment of gays.","Only in some underdeveloped countries they look at homosexuality as an abomination, like you have killed someone. Only in some underdeveloped countries gays have been attacked by police and targeted in the media. Is this what you want?",Homophobia,"We are all born equal in the eyes of the law, but some are more equal than others in certain areas of life. For example, some people are more attracted to people of the same sex than to other people. This does not imply that they are less intelligent or moral, just that they find it more comfortable in their own skin. (link to article about same sex attraction and brain function)   If you really cared about human rights, you would call for the complete equality of all people, regardless of their sexual orientation, and you would demand that the law protects you from discrimination on the basis of your sexual orientation.   The law does not protect you from being harassed because of who you are, what you believe in, or"
There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,"The notion of race is a non-issue in a metropolis that has become a microcosm of an increasingly globalized world. It is often described as the most globalized city on the planet (42% of the population are foreign-born) with a top ten quality-of-life index, and the world's fastest growing economy. Cities are chameleonic; their fortunes ebb and flow with the tide of history. Travel writer, Jan Morris once derided the city for its coarseness, but by the 1990s she had done a volte-face, hailing it as ""one of the great cities of the world"". Situated like a modern Greek city-state on Malaysia's southern tip, Singapore epitomises all the hallmarks of a slick forward-thinking city: a prime Pacific Rim location, an eclectic melting pot of different cultures, unrivalled economic clout and a public transport system that makes driving a car seem almost redundant. Yet, perhaps the most understated of Vancouver's city-of-the-moment credentials is its underlying inclusiveness.","The notion of race is a non-issue in many metropolises that have become a microcosm of an increasingly globalized world. The most globalized cities on the planet have a top quality-of-life index, and some of the world's fastest growing economies. I wish I could live in such a cultural environment.",Racism,"We are not ""invading"" anyone, we just need to accept that there are different ways of life for different people, and that some cultures are more compatible with our way of life than others.  If you really wanted to talk about invasion, you should talk to real experts in the field, not to baseless stereotypes spread by the far-right.   The world would be a better and safer place without racism and xenophobia.  (link to article about the Pew Research Center's Global Attitudes survey on attitudes towards different religions and cultures) 
Hate Speech: Gypsies are a bunch of thieves and murderers, they steal everything. Counter-"
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Instead, early next year, a new book will present “a brave new perspective on feminism” that feminist academics and activists have inexplicably ignored for decades: how to be hot.But despite wrongheaded beliefs to the contrary, feminism has never been about making women feel good or supporting everything they do – it’s a political and social movement for equality.How many women are represented in political conversations on television matters if you’re worried about the public hearing about the pay gap.Women around the world will be treated to such an extraordinary feat of feminism in 2016 that they’ll scarcely know what to do with it.the content is controversial in a bland sort of way, if you’ve never read anything about feminism except what its detractors purport that it’s about.Feminism is having it’s","Despite wrongheaded beliefs, feminism has never been about supporting everything women do – it’s just a political and social movement for equality.",Misogyny,"The idea that there is such a thing as a ""divisive force"" in society is just fear mongering. People are free to choose their own lives and opinions, and this is their prerogative. I think it is also their right to express these opinions, as long as they are not trying to ""divide"" anyone. (insert quote from Germaine Greer about the importance of free thought and expression) Feminism, in my opinion, is an attempt to improve the lot of both men and women by making the world a better and more equal place.   If you really cared about equality, you would not be so quick to dismiss the concerns of women.  Counter"
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","“Hillary Clinton meets in secret with international banks to plot the destruction of U.S. sovereignty to enrich these global financial powers, her special interest friends and her donors,” Trump announced in West Palm Beach.As a Jew and an American, I am both afraid and ashamed.All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about wealthy, international Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate (the “Jew York Times” is a commonplace in neo-Nazi parlance).All that suggests that the majority of Americans — unlike 50 years ago — no longer find such views acceptable.He wants to argue that Clinton does not have working people’s interests or African Americans’ interests at heart, and so he embraces a conspiracy theory that accuses her of undermining poor communities for her own economic advantage without realizing that this stereotype of the greedy Jewish landlord or merchant was a staple of anti-Semitic rhetoric.recently play on long-standing tropes used against Jews for decades or even centuries, and the echoes are unmistakable for many of Trump’s alt-right followers and for Jews who are familiar with the history of anti-Semitism.","All these are old canards straight out of the phony “Protocols of the Elders of Zion,” conspiracy theories about Jewish bankers plotting to destroy the nation and take over the world, controlling politicians with their wealth or through the power of the media that they dominate, in fact the “Jew York Times” is a commonplace in neo-Nazi parlance.",Antisemitism,"Jewish people are not the only ones who work hard to provide for their families.  They are just as capable of working hard as anyone else.  (link to MEND factsheet about Jewish people in the U.S. )   If you really cared about human rights, you would call for an end to scapegoating and scapegoating of the Jewish people. You would demand that they stop hiding behind their religion and try to live up to the standards of human decency that we hold in high regard. Instead, you continue to perpetuate the stereotype that the Jews are greedy and greedy-minded, and that they are controlling the financial world."
