 hate_speech,knowledge_sentence,counter_narrative,target,FactualityScore
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.","Indeed, the bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — ranked by color has led to the creation of potent and persistent racial stereotypes.""Racial souls"" were seen as mapping onto unique suites of physical traits, creating crazy ideas of ranked human types and civilizations.Despite the strong objections of many of his contemporaries, Kant's ideas about a fixed natural hierarchy of human races, graded in value from light to dark, gained tremendous support because they reinforced popular misconceptions about dark skin being more than a physical trait.Skin color is one of our most important biological traits.Today one of the biggest concerns is the reinvention of clinical concepts of race, based on inaccurate generalizations about the susceptibility of people to certain disease risks.For Kant and his many followers, the rank-ordering of races by skin color and character created a self-evident order of nature that implied that light-colored races were superior and destined to be served by the innately inferior, darker-colored ones.","This is the wrong concept of Jewishness as race. The bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — has led to the creation of potent and persistent racial stereotypes. For example ""Racial souls"" were seen as mapping onto unique suites of physical traits, creating crazy ideas of ranked human types and civilizations. But there is neither a physical nor a behavioral trait associated to being Jewish.",Antisemitism,0
Islam is a just a repressive ideology that persecutes women and gay people.,"Remember that those standing up to Muslim fanatics are mostly Muslims.First, historically, Islam was not particularly intolerant, and it initially elevated the status of women.In Indonesia, the most populous Muslim country in the world, only 16 percent of Muslims favor such a penalty. Moreover, of the 10 bottom-ranking countries in the World Economic Forum’s report on women’s rights, nine are majority Muslim.One of my scariest encounters was with mobs of Javanese Muslims who were beheading people they accused of sorcery and carrying their heads on pikes.Iran has persecuted Christians and Bahais, but a Muslim lawyer, Mohammad Ali Dadkhah, showed enormous courage by challenging the repression and winning release of a pastor.","Remember that those standing up to Muslim fanatics are mostly Muslims, and they are paying the highest price. Furthermore, historically, Islam was not particularly intolerant, and it elevated the status of women.",Islamophobia,0
Some races have lower physical and cognitive abilities therefore their life is less valuable.,"Humans, according to Professor Singer’s critique of “speciesism,” have no intrinsic claim to life. The field promises valuable insights into early human development and new possibilities for treating diseases and disorders. The interests of individuals depend upon their cognitive abilities and on “characteristics like rationality, autonomy, and self-consciousness.” Many scientists chafe at restrictions on their ability to learn more about life and potentially create breakthrough therapies. The intractability of this issue reflects the fact that, as a matter of biology, the development of human life is rarely characterized by clear lines. Killing an adult chimpanzee would be, for him, a more immoral act than killing a 1-year-old child, because the chimpanzee has greater cognitive capacities.","Following your reasoning, killing an adult chimpanzee could be a more immoral act than killing a 1-year-old child, because the chimpanzee has greater cognitive and physical capacities than a toddler.",Racism,0
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,"One hundred years ago this month, Turkish soldiers began slaughtering Armenian Christians amid the chaos of World War I.Four months later, 800,000 were dead.Seven years later, he still has yet to “be that president.”But Turkey has never acknowledged the true nature of this crime against humanity, pretending instead that the Armenians died in a civil war.The pontiff also not only equated the Armenian genocide with the Nazi and Stalinist eras, but drew a parallel to today’s attacks by radical Islamists on Christians in the Middle East and Africa.The silence from Washington remains deafening — and profoundly disappointing.The final toll was at least 1.5 million — perhaps 90 percent of the local population.","One hundred years ago, Turkish soldiers began slaughtering Armenian Christians amid the chaos of World War I. Four months later, 800,000 were dead, and the final toll was at least 1.5 million — perhaps 90 percent of the local population. Now you are suggesting to use the same solution? THen what would make us different from them?",Islamophobia,0
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Instead, early next year, a new book will present “a brave new perspective on feminism” that feminist academics and activists have inexplicably ignored for decades: how to be hot.But despite wrongheaded beliefs to the contrary, feminism has never been about making women feel good or supporting everything they do – it’s a political and social movement for equality. How many women are represented in political conversations on television matters if you’re worried about the public hearing about the pay gap.Women around the world will be treated to such an extraordinary feat of feminism in 2016 that they’ll scarcely know what to do with it.the content is controversial in a bland sort of way, if you’ve never read anything about feminism except what its detractors purport that it’s about. Feminism is having it’s","Of course, if you’ve never read anything about feminism except what its detractors purport that it’s about, then you come to believe it is a divisive force for society. But if you open yourself to different point of view you will change your mind, trust me!",Misogyny,0
"Muslims, if they cannot assimilate, they should emigrate.","Every year Muslims contribute over £31 billion to the UK economy.Nor are British Muslims alien from British society.Many British Muslims are role models in sport, business and entertainment: Today programme identified that 95 per cent of Muslims felt a loyalty to Britain and 93 per cent said that they felt responsible for following British laws.The cliché that there is a contradiction in being a Muslim and also a law-abiding British citizen is fallacious.Without doubt, across many parts of the troubled Muslim world, religious reforms are needed as much as political and socio-economic ones.","Every year Muslims contribute over £31 billion to the UK economy. Nor are British Muslims alien from British society. Many British Muslims are role models in sport, business and entertainment: Today programme identified that 95 per cent of Muslims felt a loyalty to Britain and 93 per cent said that they felt responsible for following British laws. The cliché that there is a contradiction in being a Muslim and also a law-abiding British citizen is fallacious. Without doubt, across many parts of the troubled Muslim world, religious reforms are needed as much as political and socio-economic ones.",Islamophobia,0
All Muslims are incompatible with any Western society.,"And that ultimately western society will always have the monopoly on what is fashionable and relevant.As a Muslim woman and the intended target consumer, I thought that the pale white model wearing the clothing served as yet another stark reminder that eastern culture may only be celebrated when it is glamorised by western society, which can in turn capitalise on it.In the context of global Islamophobia, there is something that makes me feel quite uneasy seeing a towering white woman praised for looking glamorous in the same clothing that often leaves Muslim women perceived as “extremist” and puts them at risk of being attacked or even criminalised in some western societies.Sales of luxury goods in the Middle East hit $8.7bn last year, and Muslims worldwide spent $266bn on luxury goods in 2013, it becomes clear what truly motivates these brands in their production of “modest” clothing.The fashion industry has been hugely successful in Muslim countries for many years now, and Muslim women around the globe have been extremely inventive in creating fashionable looks that allow high fashion clothing to conform to guidelines of Islamic dress.It is difficult for me to feel excited and grateful for a fashion line that supposedly caters to me and the requirements of my faith, when it feels as though the overwhelming message is that the only desirable Muslim is a wealthy one; that Muslim fashion is acceptable, but only when legitimised by a major western fashion label.","Sales of luxury goods in the Middle East hit $8.7bn last year, and Muslims worldwide spent $266bn on luxury goods in 2013. The fashion industry has been hugely successful in Muslim countries for many years now. ""All Muslims are incompatible with any Western society""... unless they buy our products of course!",Islamophobia,0
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,"“Islam is all about peace, but what they want to do is hate other people.“You will always face suffering, you will always face humiliation, unless you withdraw your troops from Muslim lands,” said one protester in a speech, according to multiple reports.Among the protesters in Grosvenor Square were members of the group Muslims Against Crusades (MAC).One man spit at a photographer who was snapping a picture of him in the arms of policemen.“I’m a Muslim. What they’re doing is bringing shame on all Muslims.",Islam is all about peace.,Islamophobia,0
Jew merchants are just a bunch of crooks.,"Of course you can.A satisfied seller or customer would be well served to know the rudimentary measurements of gold, particularly as they are expressed.It is usually the buyer in this type of transaction that enjoys the advantage and unfortunately the seller (in this case also the ""customer"") assumes the risk of not getting the maximum dollar for his or her jewelry.Can you as the seller level the playing field?But as with any transaction, there is a buyer (who wants to pay as little as possible) and a seller (you, wanting to receive as much as possible).Finding a buyer that helps you in all these regards is even better!","This has nothing to do with being Jews: these are just the basics of business and trade. As with any transaction, there is a buyer (who wants to pay as little as possible) and a seller (the merchant wanting to receive as much as possible).",Antisemitism,0
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Instead, early next year, a new book will present “a brave new perspective on feminism” that feminist academics and activists have inexplicably ignored for decades: how to be hot.But despite wrongheaded beliefs to the contrary, feminism has never been about making women feel good or supporting everything they do – it’s a political and social movement for equality.How many women are represented in political conversations on television matters if you’re worried about the public hearing about the pay gap.Women around the world will be treated to such an extraordinary feat of feminism in 2016 that they’ll scarcely know what to do with it.the content is controversial in a bland sort of way, if you’ve never read anything about feminism except what its detractors purport that it’s about.Feminism is having it’s","Despite wrongheaded beliefs, feminism has never been about supporting everything women do – it’s just a political and social movement for equality.",Misogyny,0
Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,"To answer it, we need to look not at extremist preachers or university lecturers but also at public policy, and in particular the failed policy of multiculturalism. The real target of much of this criticism, however, is not multiculturalism but immigration and immigrants — especially Muslims. Part of the difficulty in thinking about multiculturalism is that it has come to have two meanings that are rarely distinguished. The claims of minorities upon society were defined less by the social and political needs of individuals than by the box to which they belonged. A rancorous chorus of populist politicians, like Geert Wilders in the Netherlands and Jimmie Akesson in Sweden, have made major electoral gains by stoking fears about multiculturalism. The failure to distinguish between these meanings has made it easier to use attacks on multiculturalism as a means of blaming minorities for the failure of government policy.",I believe that the real target of this criticism is not multiculturalism but immigration and immigrants: multiculturalism has come to have multiple meanings that are rarely distinguished. The failure to distinguish between these meanings has made it easier to use attacks on multiculturalism as a means of blaming other groups.,Racism,0
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Around the world there are Jews of color, Asian Jews, Jews of all kinds.The idea that Jews are white is not only ridiculous, it’s offensive to who we really are!Even in times when we participated fully in non-Jewish societies, we always knew that we stood with one foot in the mainstream, and one foot outside.My answer to her, and my answer for all American Jews during these Days of Awe, is that finding our true Jewish identity can begin by questioning our whiteness.But that young woman I spoke with this summer, and most of her young adult Jewish peers today, can hardly fathom being singled out, being treated as “other,” because of their Jewishness.We all know that the saga of Jews in America is a stunning success story.","Around the world there are Jews of color, Asian Jews, Jews of all kinds. The idea that Jews have a specific physical nature is not only ridiculous, it’s offensive to who they really are! Most of young adult Jewish today, can hardly fathom being singled out, being treated as “other,” because of their Jewishness.",Antisemitism,0
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","The research may help to shed light on how religions such as Christianity, Judaism and Islam first emerged.These included common religions like Christianity and Islam along with rarer religions such as Zahv, the belief system of the Akha people in south-east Asia.This might help to explain why religions such as Christianity and Islam emerged in parts of the world that have suffered extreme climatic changes and where famine was rife.It suggests that believing in a high god, where followers are required to live by certain moral rules, helped to unite communities in harsh environments and when food was scarce.“When life is tough or when it’s uncertain, people believe in big gods,” he said.Among humans, there is also good evidence that religious beliefs may help shape social behaviour by, for example, promoting cooperation, fairness and honesty.”","On the contrary, research shed light on how religions such as Christianity, Judaism and Islam first emerged. It suggests that believing in a high god, where followers are required to live by certain moral rules, helped to unite communities in harsh environments and when food was scarce. Among humans, there is also good evidence that religious beliefs may help shape social behaviour by, for example, promoting cooperation, fairness and honesty.",Islamophobia,0
Jews are cheap and only care about their comrades.,"In May 1881 Clara Barton — the legendary Civil War nurse known as “the Angel of the Battlefield” — and a philanthropist and humanitarian named Adolphus Solomons founded the American Red Cross.The International Committee of the Red Cross had been formed 18 years earlier, in Switzerland, and both Barton and Solomons had been so impressed by what they’d witnessed of its work in various theaters of war and other crises that they were determined that the United States would and should have its own, viable chapter.LIFE calls this week on a chapter of the American Red Cross at Mineola, Long Island.In some ways the good works of the Red Cross shine back on its own supporters and staff.Today the American Red Cross has 7,500,000 paying members and 3,714 chapters — in every U.S. county but two.Of these the New York chapter is the biggest, the most active.","In May 1881 Clara Barton — the legendary Civil War nurse known as “the Angel of the Battlefield” — and a philanthropist and humanitarian named Adolphus Solomons founded the American Red Cross. They were both religious, they both care for all people around the world, regardless of religion or race. Guess Solomons' religion.",Antisemitism,0
"Some races are poor because they are inferior, also in the eye of the Lord.","Young people, and even adults, often wonder how all the varieties or ""races"" of people could come from the same original human ancestors. The Bible clearly teaches that God created all human beings in His image. Just as some individuals today carry genes to produce descendants with different color hair and eyes, humanity's first parents, Adam and Eve, possessed genes to produce all the variety and races of men. Thus, both will have different abilities to affect the eye color of their offspring. Of course not! You and I today may not carry the genes to produce every variety or race of humans, but humanity's first parents did possess such genes.","If we follow the Bible, humanity's first parents, Adam and Eve, possessed genes to produce all the variety and races of men, so how come that some of them are inferior?",Racism,0
Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"In short, scholars have become quite critical of the concept of race. “On the New Biology of Race” (Journal of Philosophy Vol. If siblings — who share the largest amount of DNA — can be identified as being of different races because of the way they look (as is common in Latin America and in my own family), how can race be biological? Serious scholarship in the area of race is really just beginning. In recent weeks, the state of Arizona has intensified its attack in its schools on an entire branch of study — critical race theory. As for myself, I am actually a racial realist, and have defended the reality of race throughout my work, precisely in the sense some of the commentators have wanted to emphasize: that race is a socially constructed category with much significance and relevance even though the old-fashioned biological notions of race are false.",Scholars have become quite critical of the concept of race.,Racism,0
Woman and feminist do not want equal rights and opportunity: they are just trying to take over society.,"It is the theory of the political, economic and social equality of the sexes,"" she said.""For the record, feminism by definition is 'The belief that men and women should have equal rights and opportunities.'So I am a feminist, and we all should be feminist, because feminism is another word for equality.""I am a feminist, and we all should be feminist, because feminism is another word for equality,"" said the 18-year-old activist.""And then after hearing your speech … I decided that (there's) nothing wrong by calling yourself a feminist,"" she continued, adding that many have forgotten the word's definition. ""Maybe feminist isn't the easiest word to use …",Just for the record: feminism by definition is 'The belief that men and women should have equal rights and opportunities.',Misogyny,0
"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","Human attitudes are constantly subject to revision through experience Educating our children and youths about the evolution of skin color, the history of race and the dangers of stereotyping may have remarkable and positive results for humanity. ""Races"" are not just labels, because they can determine fate. Negative associations of dark skin and human worth were now profitable. Indeed, the bankrupt concept of fixed and immutable human ""races"" — packages of physical and behavioral traits — ranked by color has led to the creation of potent and persistent racial stereotypes. Clinical authorities hold a sanctified place in American society and are capable of creating a new reality of labeled races that will be widely believed and promulgated because it is ""for the good.""","Human beliefs are constantly subject to revision through experience. Educating our children and youths about the evolution of skin color, the history of race and the dangers of stereotyping may have remarkable and positive results for humanity.",Racism,0
"Not all Muslims are terrorists, but all terrorists are Muslims.","Anthea Butler, professor of religious studies Following Ted Cruz’s logic, Christians can never be terrorists after the crusades, and Muslims always are terrorists.While ideological violence is not a leading threat to public safety in the U.S., in recent years, right-wing extremists have killed as many people in the U.S. as Muslim extremists, and possibly more.Conflating a reader of Al Qaeda texts with the 9/11 plotters demonizes Muslims.Thomas M. Sanderson, Center for Strategic and International Studies The F.B.I. is investigating 900 Americans for links to ISIS, which has plied locally based followers with visions of revenge.Arie Perliger, U.S. Military Academy Including all mass shootings under one umbrella of “terrorism” leads to a lack of understanding of their unique nature, which can result in imprecise and inadequate counter policies.","While ideological violence is not a leading threat to public safety in the U.S., in recent years, right-wing extremists have killed as many people in the U.S. as Muslim extremists, and possibly more. Conflating a reader of the Quran with the 9/11 plotters demonizes Muslims.",Islamophobia,0
We cannot coexist in a society with millions of strangers that are unrespectful to our culture and other human beings.,"We call it the “Aloha Spirit”: the mood of welcome and inclusion that defines Hawaii, which has been a peaceful multicultural society longer than it has been a U.S. state. Throughout the islands’ history, there have been efforts to preserve the Native Hawaiian legacy and culture. Now this harmony is being undermined by an effort to create a semi-sovereign, race-based tribal government. The Hawaiian Homes Commission...","Why don't we build on the “Aloha Spirit” instead? It is the mood of welcome and inclusion that defines Hawaii, which has been a peaceful multicultural society longer than it has been a U.S. state.",Racism,0
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","Turkey is a Muslim country and all throughout the world, there are about 1.6 billion Muslims and 35 countries practice some kind of Sharia Law. The truth is many Muslim nations have not confronted Islamic terrorism have not attacked violence in the name of Allah, and have not even condemned the jihad.""Talking Points"" well understands that for centuries Muslims coexisted peacefully with other religions. And most Muslim nations are not joining with the West to confront that therefore, criticism of Islam's role on the world stage is certainly valid. All I'm saying is that liberal principles like freedom of speech, freedom to practice any religion you want without fear of violence, freedom to leave a religion, equality for women, equality for minorities, including homosexuals -- these are liberal principles that liberals applaud for So you can see that millions of Muslims think their religion should dictate what happens in society. ","There are millions of Muslims thinking that their religion can coexist with liberal principles like freedom of speech, freedom to practice any religion you want without fear of violence, freedom to leave a religion, equality for women, equality for minorities, including homosexuals -- these are liberal principles that we applaud for.",Islamophobia,0
This is an invasion: Millions of strangers jeopardizing our race and culture.,"EVER since the culture wars of the 1980s, Americans have been familiar with “the race card” — an epithet used to discredit real and imagined cries of racism. Khalil Gibran Muhammad, director of the Schomburg Center for Research in Black Culture at the New York Public Library, is the author of The Condemnation of Blackness: Race, Crime, and the Making of Modern Urban America. But the solution, Ripley argued, was not stigma, isolation and the promotion of fear. But perhaps the large scale of black-on-black violence justifies playing the violence card? Not if you recall how Americans responded to high levels of white-on-white violence in the past. Consider the crime waves of 1890 to 1930, when millions of poor European immigrants came to America only to be trapped in inner-city slums, suffering the effects of severe economic inequality and social marginalization.","But the solution is not stigma, isolation and the promotion of fear. Consider the crime waves of 1890 to 1930, when millions of poor European immigrants came to America only to be trapped in inner-city slums, suffering the effects of severe economic inequality and social marginalization. The solution came with the inclusion of those immigrants.",Racism,0
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"In a joint statement, the blood organizations said that safety was the first priority and that potential donors should be screened more fairly, regardless of sexual orientation. Shawn Decker, a hemophiliac who contracted HIV through contaminated blood products, said he supports allowing gay men to donate blood. The different standards between gay and straight people exists because the risk of HIV is much lower in heterosexuals, he said. The Human Rights Campaign, the American Red Cross, America's Blood Centers and AABB, formerly known as the American Association of Blood Banks, support easing the lifetime ban to allow gay blood donors. The issue of blood donation has ""nothing to do with someone being gay. The FDA retained the ban on gay blood donors after reviewing the issue in 2000 and 2006.","Of course safety is the first priority, but potential donors should be screened more fairly, regardless of sexual orientation: it's the sexual behavior the real issue.",Homophobia,0
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"When talk turns to worldwide conspiracies, the long shadow of the “Protocols of the Learned Elders of Zion,” purportedly a blueprint for Jewish world domination, can never be far away.In The New York Times, Jonathan Martin said Mr. Trump veered “dangerously close to the territory of ‘The Protocols of the Elders of Zion.’” Nine months later came a definitive scholarly debunking of the “Protocols.”Philip Graves, a correspondent of The Times of London, exposed it as having largely been plagiarized from an 1864 book attacking the regime of Emperor Napoleon III of France.It was published as “The Protocols and World Revolution” by Small, Maynard & Company of Boston.The first big article about the “Protocols” in The Times, on Dec. 1, 1920, carried news that it had been denounced by a conference of leading Jewish organizations as a “base forgery” and as a “recrudescence of medieval bigotry and stupidity.”","The first big article about the “Protocols” in The Times, on Dec. 1, 1920, carried news that it had been denounced by a conference of leading Jewish organizations as a “base forgery” and as a “recrudescence of medieval bigotry and stupidity.” Let alone all the historical studies that proved Protocols' falsity. Everything is orchestrated, but not in the way you think.",Antisemitism,0
All Muslims are incompatible with any Western society.,"The United Methodist Church, for example, formally considers homosexuality incompatible with Christian doctrine.To read more about religious denominations’ policies, practices and tolerance for diversity in the post-Prop. 8 world, click here.’s practice doesn’t necessarily follow its policy.There’s also an organization called Muslims for Progressive Values that dispatches imams around the country to perform Islamic weddings for gays and lesbians, even though mainstream Islam condemns homosexuality.Gay and lesbian couples who want a religious wedding, may be surprised that a church But 82 Methodist ministers signed a statement last week saying they were prepared to perform same-sex weddings at any Methodist church that lacked a pastor.",Why do you say that ALL Muslims are incompatible with any Western society? Because they condemn homosexuality? Did you know that there’s also an organization called Muslims for Progressive Values that dispatches imams around the country to perform Islamic weddings for gays and lesbians?,Islamophobia,0
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"“I don’t need feminism because I believe in equality, not entitlements and supremacy.”Is there still a place in modern-day America for a gender-equality movement?A true equality movement would be concerned with the needs and interests of both sexes.Many others, however, say they repudiate feminism even though — indeed, because — they support equality and female empowerment: The latest skirmish on the gender battlefield is “Women Against Feminism”: women and girls taking to social media to declare that they don’t need or want feminism, usually via photos of themselves with handwritten placards.The Total Woman was a top best seller, and Phyllis Schlafly led opposition to the Equal Rights Amendment.","Ok, let's say we don’t need feminism because we believe in equality, not entitlements and supremacy. Still the question remains: do we want to support equality and female empowerment?",Misogyny,0
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"When talk turns to worldwide conspiracies, the long shadow of the “Protocols of the Learned Elders of Zion,” purportedly a blueprint for Jewish world domination, can never be far away.In The New York Times, Jonathan Martin said Mr. Trump veered “dangerously close to the territory of ‘The Protocols of the Elders of Zion.’ ”It was published as “The Protocols and World Revolution” by Small, Maynard & Company of Boston.Philip Graves, a correspondent of The Times of London, exposed it as having largely been plagiarized from an 1864 book attacking the regime of Emperor Napoleon III of France.Hardly the stuff of secret conspiracy.After all, “Protocol No. XII” says a Jewish-controlled press will subjugate Gentiles’ minds “to such an extent that almost all of them see world events through colored glasses which we put over their eyes.”)","When talk turns to worldwide conspiracies, the long shadow of the “Protocols of the Learned Elders of Zion,” purportedly a blueprint for Jewish world domination, can never be far away. Philip Graves, a correspondent of The Times of London, exposed it as having largely been plagiarized from an 1864 book attacking the regime of Emperor Napoleon III of France. Hardly the stuff of secret conspiracy.",Antisemitism,0
homosexuality is a mental illness that can be cured [link],"Despite Peter and Kenneth having lived through the years where being gay was considered a mental illness, their love and their life together survived and flourished. For more than 30 years, the major health and mental health professional organizations in the United States have agreed that heterosexuality, bisexuality and homosexuality are all variations of sexual orientation. In contrast, Minnesota congresswoman and presidential candidate Michele Bachmann and her husband, Marcus, have both publicly supported the proposition that homosexuality can be cured through therapy, prayer, or a combination of the two. Individuals who seek “reparative therapy” to become heterosexual often do so because of personal distress, possibly caused by family, or societal pressures, or by teachings from those religious traditions that condemn bisexuality and homosexuality. Can an individual’s sexual orientation be changed through therapy? There can be no justification for discrimination based on sexual orientation or gender identity, including the use of “reparative” therapies.","Individuals who seek “reparative therapy” to become heterosexual often do so because of personal distress, possibly caused by family, or societal pressures, or by teachings from those religious traditions that condemn bisexuality and homosexuality. But individual’s sexual orientation cannot be changed through therapy. And there can be no justification for discrimination based on sexual orientation or gender identity, including the use of “reparative” therapies.",Homophobia,0
Why gays do not try to heal?,"We must always consider the person. it is not possible to interfere spiritually in the life of a person.” In life, God accompanies persons, and we must accompany them, starting from their situation. A person once asked me, in a provocative manner, if I approved of homosexuality. “The Jesuit must be a person whose thought is incomplete, in the sense of open-ended thinking,” he said. I said that if a homosexual person is of good will and is in search of God, I am no one to judge.","We must always consider the person. it is not possible to interfere in the personal preferences of a person. If a homosexual person is of good will, I am no one to judge or to try to heal them.",Homophobia,0
