cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel,Generated Counter Speech
ITT1ST0014HS0005CN000377T1,I would prefer the Martians than these fucking Muslims.,In today's world we do not need more violence. Do you believe strongly in this statement? Why?,Islamophobia,generic,question,,,,"We are all human beings, and we are all born equal in the eyes of the law. But some people are less human than others, and this is their prerogative, and they have the right to choose how to live their lives."
ENT1ST0001HS0118CN000053P1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,"Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",Islamophobia,crimes,facts,61.0,male,Bachelor,"This is not true. Criminals are judged on the basis of the evidence, not on the religion they use to commit their crimes.  Criminals can be of any faith, and many of them are good citizens"
ITT1ST0015HS0036CN000606P2,"E' riprorevole il fatto che i crocefissi siano stati tolti dalle scuole, non è giusto nei confronti dei cristiani.",A scuola ci sono persone di ogni credo e anche atei. Perché ci dovrebbe essere il crocefisso?,Islamophobia,islamization,"hypocrisy , question",55.0,female,Master,This is not true.  We are all human beings with the same
FRT1ST0014HS0043CN000228P1,L'islam crée des problèmes pour notre société.,Qui dit problème dit solution.,Islamophobia,generic,humor,44.0,female,Some university without degree,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-grooming-gangs-are-asians-
FRT1ST0012HS0037CN000328T1,Veiled women are subjected and forced to wear the headscarf.,"It is obvious if they are as you say ""subjected"".",Islamophobia,"culture , women",denouncing,,,,"In the West, women are free to wear what they want, as long as they do not expose their faces to men's eyes. In Islamic countries like Morocco, Saudi Arabia, and Oman women are not allowed to wear burq"
ITT1ST0015HS0022CN000680P1,Gli islamici sono in conflitto con i cristiani e per questo vogliono sterminarli tutti.,"Non tutti i musulmani sono contro i cristiani, quelli di cui parla lei sono solo una piccola parte che non rappresenta la religione islamica per intero.",Islamophobia,islamization,facts,23.0,male,Some university without degree,Https://www.theguardian.com/commentisfree/2016/aug/01/immigrant-muslim-cancer-
ITT1ST0013HS0013CN000265T1,These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,"Excuse me, why should we suffer from hunger because of Muslims? Can you tell me why, please?",Islamophobia,economics,question,,,,"If you really cared about human rights, you would call for the prosecution of those who commit these crimes, not blame all Muslims. Criminals are not all of a certain race or religion"
ENT1ST0023HS0009CN001259,"Liberal double standards! Muslims oppress women, homosexuals and other cultures but are not held responsible due to our society's tolerance! The government should stop submitting to these people.",The opposite of oppression is choice the vast majority of Muslim women in Britain have choice.,Islamophobia,women,facts,50.0,male,Bachelor,"If you really cared about human rights, you would call for the prosecution of the perpetrators of these crimes, not blame all Muslims."
ITT1ST0014HS0002CN000373T1,Islamics must adapt to our culture and not viceversa.,"Hi, in Italy freedom of religion is a fundamental principle: no one has to adapt to a culture, but you must have the right to profess your faith in full freedom and respect for each other I think.",Islamophobia,generic,facts,,,,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence.  Islam does not condone rape, enslavement or murder. It condemns forced marriages and female genital mutilation. It"
ITT1ST0001HS0016CN000086P2,"Noi li ospitiamo nel nostro paese, forniamo un aiuto economico e loro ci uccidono: sono da considerarsi più simili agli animali che alle persone.","Anche in Italia ci sono casi di omicidio, eppure ci consideriamo un popolo civile ed evoluto.",Islamophobia,crimes,"denouncing , facts",37.0,male,High school,This is not true.
FRT1ST0014HS0043CN001315P2,L'islam pose beaucoup de problèmes à notre société.,C'est parce que vous avais pas les bonne montures.,Islamophobia,generic,other,29.0,male,High school,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-grooming-gangs-are-as
FRT1ST0023HS0029CN000515,"Les femmes voilées ne travaillent pas, elles sont enfermées à la maison.",Faux elles travaillent quand elles ont la possibilité de le faire.,Islamophobia,women,facts,37.0,male,Master,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-men-
FRT1ST0012HS0037CN001630T1,Veiled women are subjected and forced to wear the headscarf.,"The veiled woman like any human being is free to protect her body as she wishes, she does not want to please, let alone seduce to be able to exist, she wants to be at peace with her conscience.",Islamophobia,"culture , women",facts,,,,"In the West, women are free to wear what they want, as long as they do not expose their faces to men's eyes. In Islamic countries like Morocco, Saudi Arabia, and Oman women are not allowed to wear burq"
ITT1ST0019HS0010CN000920T1,Muslims rape our women and must be neutered.,The highest number of rapes on Italian women is committed by Italians.,Islamophobia,rapism,facts,,,,Islam is not a religion of rape. Islam is about love and respect for women. Islam condemns violence and women are not to be oppressed. Islam encourages women to take charge in their lives and to take responsibility for their decisions. Islam does not condone rape
FRT1ST0012HS0037CN001629P2,Les femmes voilées sont misérables et réprimées.,C'est un choix pour garder son intimité sa pudeur.,Islamophobia,"culture , women",facts,28.0,male,Master,"We are all human beings with human rights, and we all have the right to be treated with respect and dignity. No one should be discriminated against on the basis of their gender, sexuality, or religion."
ITT1ST0017HS0050CN000788T1,The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,"Generalizing has never led to anything good. I remind you that even in Italy we have had our terrorists. Saying that all Arabs are terrorists because of few individuals is like saying that all Christians are terrorists of the Red Brigades at home, for example.",Islamophobia,"islamization , terrorism","denouncing , facts",,,,Islam is not a religion of terrorism. Islam is a religion about peace and tolerance. Peace and tolerance are the values that I hold dear. Islam does not promote violence or hate
ITT1ST0011HS0062CN000219T1,Islam is fanaticism. Muslims want to kill all who do not believe in their god.,"You could say the same of Christianity, just look at the history.",Islamophobia,"culture , terrorism",facts,,,,"Islam is a religion of peace. Muslims are peaceful people. I do not think it is a bad idea to have a peaceful religion.  If you do not like it, you can leave it if you want"
FRT1ST0012HS0050CN001498P2,Le voile dans l'Islam a une signification politique.,Faux car le voile n'est pas que islamique Toutes les religions en parlent.,Islamophobia,"culture , women",facts,45.0,female,Bachelor,Https://www.theguardian.com/commentisfree/2016/aug/01/immigrant-deportation-numbers-show-rise-in-non-white-immigrant-immigration-
ITT1ST0013HS0013CN000259P1,"Gli islamici porteranno nuove malattie e carestie nelle nostre nazioni, sarà come ritornare al medioevo.","Se sapremo accogliere e integrare nella nostra società coloro che arrivano da altri paesi, sarà un arricchimento per tutti.",Islamophobia,economics,positive,67.0,male,Master,Https://www.theguardian.com/commentisfree/2018/nov/
FRT1ST0022HS0004CN000925P1,Tous les musulmans sont des terroristes radicaux.,Comment répandre la haine et les amalgames avec 4 lettres. Iste.,Islamophobia,terrorism,denouncing,32.0,female,Bachelor,Https://www.theguardian.com/commentisfree/2016/aug/01/84-per-cent-of-muslims-are-sex-offenders-we-dont
FRT1ST0015HS0042CN000392P1,L'islamisation est une menace.,"Il faudrait des musulmans qui accèdent au pouvoir pour cela,c est loin d être le cas.",Islamophobia,islamization,facts,55.0,male,High school,"Islam is a religion of peace. It is about love, tolerance and understanding. It has nothing to do with hatred and violence. Islam is not a violent religion and does not promote the use of violence. Muslims are human beings with human rights."
FRT1ST0008HS0030CN000713T1,Muslims prevent girls from wearing skirts.,The Islam teaches modesty.,Islamophobia,culture,facts,,,,"Islam is a religion of peace. It teaches that everyone is equal before the law and that everyone has the right to freedom of thought, conscience and religion. It does not promote discrimination based on religion. (link to article about the Muslim Campaign for Non-Violence"
FRT1ST0012HS0050CN001434P1,Le voile représente l'humeur politique des musulmans.,Quelle est cette soi disant politique?,Islamophobia,"culture , women",question,55.0,male,High school,Https://www.theguardian.com/commentisfree/2018/nov/11/immigrant-muslim-cancer-research-uncovered-despite-years-of-refrain
ITT1ST0015HS0039CN000781P2,Stanno costruendo talmente tante moschee che tra poco esisteranno più luoghi di culto per loro che per noi.,"È giusto che ogni confessione religiosa possa avere un luogo di culto in cui professare il proprio credo, come prevede la nostra costituzione.",Islamophobia,islamization,facts,25.0,female,PhD,I am not sure what you think the point of this is. Do you want to talk about your
FRT1ST0015HS0035CN000963T1,"They want us to believe that this is normal, soon our little girls will be velied.",Parental authority exists in France.,Islamophobia,islamization,facts,,,,"They are not. Girls are not being groomed to become'slutty' or 'whore' by their Patriarchy, but rather they are being taught to respect themselves and each other."
ITT1ST0022HS0008CN001042P2,Chiunque professi l'islamismo è un estremista fanatico.,Il terrorismo è un problema serio ma non ha a che fare con la religione.,Islamophobia,terrorism,facts,57.0,female,Bachelor,"I do not think it is a coincidence that the number of Muslims in the UK has more than halved in the last 20 years, coincidentally the years of the 9/11 terror attacks in the US"
ENT1ST0014HS0052CN000653,Muslims have no place in civilised Europe.,"Muslims have been a part of European society for hundreds of years, what is not 'civilised' is your attitude towards them.",Islamophobia,generic,denouncing,21.0,female,Master,"Islam is a religion of peace. It is about love, tolerance and understanding. It has nothing to do with discrimination and hate. Muslims are here to live and work in peace. They have every right to be proud of their religion and culture."
ITT1ST0013HS0013CN000249P1,"Gli islamici porteranno nuove malattie e carestie nelle nostre nazioni, sarà come ritornare al medioevo.",Se moriremo per malattie scomparse la colpa sarà di chi sta facendo la campagna contro i vaccini.,Islamophobia,economics,"facts , hypocrisy",48.0,female,Master,Https://www.theguardian.com/commentisfree/2018/nov/
ITT1ST0022HS0008CN001044P1,I musulmani non sanno fare altro che fare attentati.,Hai qualche statistica che dimostra che sono tutti terroristi? O stai solo generalizzando.,Islamophobia,terrorism,question,18.0,female,High school,"If you really cared about human rights, you would call for the prosecution of those individuals who insult other people based on their religion, ethnicity, or national origin. You would call it out for what it is. Bull"
FRT1ST0008HS0047CN000821P1,Le voile islamique est un assaut pour nous.,Mon voile est un choix personnel.,Islamophobia,culture,affiliation,31.0,male,PhD,Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-grooming-gangs-are-asians-we-dont-
ENT1ST0022HS0097CN001204P2,Every Muslim can commit a terroristic attack one day.,"Everyone is a potential everything, what would you like to be?",Islamophobia,terrorism,humor,50.0,male,Bachelor,Islam is not a religion of terrorism. Islam is a religion about peace. Peace is about understanding and tolerance. Peace cannot be achieved through violent means. Peace can only be attained through mutual understanding and respect.  Islam does not promote terrorism.
ENT1ST0008HS0125CN000283P2,"I think that Muslims can be a problem for our society, because they do not want to conform to our costumes. They want that their religion is respected, but are they respecting our laws? One day they will oppress us with the Sharia and polygamy.","Even if people follow Sharia Law, it does not mean that country has to accept it officially.",Islamophobia,culture,facts,26.0,female,Bachelor,"If you really cared about human rights, you would"
ENT1ST0010HS0127CN000521,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,"It is no more totalitarian than any other religion. Only extremists using Islam for their own means enforce totalitarian principles. These aren't reflective of the majority of Muslims, even if the media tricks us into thinking so.",Islamophobia,"culture , islamization",facts,21.0,female,Master,Islam is not totalitarian. It is a peaceful religion that promotes human rights and criticizes violent beliefs. It does not promote discrimination and it does not condone violence.
FRT1ST0015HS0042CN000431P2,L'islamisation est nuisible.,En France la majorité des citoyens sont contre le voile où tout autre signe religieux. Cette réalité il faut l'admettre.,Islamophobia,islamization,facts,54.0,male,Master,"Islam is a religion of peace. It is about love, tolerance and understanding. It does not promote hate or violence. Muslims are not trying to convert us all to Islam. Instead, they are trying to build bridges of understanding and understanding between different communities."
FRT1ST0023HS0029CN000556P2,Les femmes musulmanes n'ont aucun droit.,Je vous envoi mon cv et vous me dites ce que vous en pensez? Attention c est un peu long!,Islamophobia,women,"humor , question",32.0,female,Bachelor,Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-europe-men-are-african-american/ Counter
